Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9,Elemento 10,Elemento 11
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2537,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@H](C2)[C@H]13,0.1011,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@H](C2)[C@H]13,0.0593,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@H](C2)[C@@H]13,0.1008,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@H](C2)[C@@H]13,0.0594,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2537,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@H](C2)[C@H]13,0.0975,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@H](C2)[C@@H]13,0.0594,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2537,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@H](C2)[C@H]13,0.0976,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@@H]4[C@H](C2)[C@H]13,0.0585,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2501,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.1012,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.0568,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@H](C2)[C@@H]13,0.0975,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@H](C2)[C@@H]13,0.0594,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2537,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@H](C2)[C@H]13,0.0983,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.0568,CC(=O)O,0.1120,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2501,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.0977,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.1125,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.0654,CC(=O)O,0.1120,CC(=O)C(=O)O
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2501,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.0977,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.1091,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5C[C@H]4[C@@H](C2)[C@@H]13,0.0655,CC(=O)O,0.1120,CC(=O)C(=O)O
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2501,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.1012,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.1057,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCOC(=O)[C@@H]5C[C@H]4[C@@H](C2)[C@H]13,0.0649,CC(=O)O,0.1120,CC(=O)C(=O)O
