Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9,Elemento 10,Elemento 11,Elemento 12,Elemento 13,Elemento 14,Elemento 15,Elemento 16,Elemento 17,Elemento 18,Elemento 19,Elemento 20,Elemento 21,Elemento 22,Elemento 23
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,,,,,,,,,
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,,,
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C[C@@H]1C(=O)O[C@H]2CC34[C@H]5C[C@@H](C(C)(C)C)C36C(O)C(=O)O[C@H]6O[C@@]4(C(=O)O5)[C@]21O,1.0000,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=C1C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC1(C)CCC[C@@]2(C)C1CC[C@@]13C[C@@H](CCC12)[C@](C)(O)C3,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1C(C)(C)CCC[C@@]12C,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)C1=CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
C=C[C@]1(C)CC[C@@H]2C(=CC3OC(=O)[C@]4(C)[C@H]3[C@]23CCC4(O)OC3)C1,0.1109,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)C(=O)CC[C@]23CO)C1,0.0977,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C1,1.0000,C=C[C@]1(C)CC[C@@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,C=C1CC[C@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,1.0000,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,1.0000,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@H]3C[C@@]12CC[C@@]3(C)O,1.0000,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=C1C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,1.0000,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
