Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1217,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1137,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1265,CC[C@]12C=CCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1275,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1038,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1217,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1159,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1038,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1217,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1133,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3C1C(=O)C2,0.1049,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1217,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1094,CC[C@@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1043,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1217,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1075,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3C1C(=O)C2,0.1033,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1290,CC[C@@]12C=C(C(=O)OC)[C@H]1[C@H]1c3[nH]c4ccccc4c3CCN1CCC2,0.2006,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CCC1,0.1048,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CC1,0.1158,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1290,CC[C@@]12C=C(C(=O)OC)[C@H]1[C@H]1c3[nH]c4ccccc4c3CCN1CCC2,0.2006,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CCC1,0.1057,NCCc1c[nH]c2ccccc12,0.1072,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1265,CC[C@]12C=CCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1202,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(OC)(C(=O)OC)C2,0.1279,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1038,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
